metafora,Figura literaria: Es una comparacion que se sobreentiende por la relacion de la analogia que se establece entre los elementos que la constituyen
interrogacion,Figura literaria: Preguntas para dar mejor enfasis al verso pero no espera respuesta alguna
anafora,Figura literaria: Repeticion de una palabra al principio de cada frase
epifora,Figura literaria: Repeticion de elementos iguales al final de cada frase
onomatopeya,Figura literaria: Imitacion de un sonido real
hiperbaton,Figura literaria: Consiste en la alteracion del orden logico de las palabras en la oracion
epiteto,Figura literaria: Consiste en emplear un adjetivo que expresa una calidad propia del sustantivo al que se une
elipsis,Figura literaria: Consiste en la supresion de terminos por considerarse que estan sobreentendidos
antitesis,Figura literaria: Contraposicion significativa de palabras o frases
gradacion,Figura literaria: Repeticion de elementos cuya intensidad va en aumento o va disminuyendo
hiperbole,Figura literaria: Exageracion magnificadora o degradante
ironia,Figura literaria: Expresion de lo contrario de lo que realmente se piensa
personificacion,"Figura literaria: Atribucion de cualidades humanas a animales, vegetales o cosas"
cosificacion,Figura literaria: Aplicacion de cualidades de objetos a seres
exclamacion,Figura literaria: Intensificacion de la expresion emocionada de un juicio o sentimiento
emisor,Circuito comunicativo: Es quien emite o genera un mensaje
receptor,Circuito comunicativo: Es quien recibe un mensaje
mensaje,Circuito comunicativo: Es puntualmente lo que el emisor transmite al receptor
codigo,Circuito comunicativo: Sistema de simbolos que el emisor utiliza para enviar su mensaje al receptor
canal,Circuito comunicativo: Medio por el cual viaja el mensaje
